1.9841,2.2546,0.44493,-0.18003
1.9809,2.2553,0.44822,-0.18053
1.9777,2.256,0.45152,-0.18102
1.9744,2.2566,0.45482,-0.1815
1.9712,2.2573,0.45811,-0.18196
1.968,2.2579,0.46141,-0.18242
1.9647,2.2586,0.4647,-0.18286
1.9615,2.2592,0.468,-0.18329
1.9583,2.2598,0.47129,-0.18371
1.955,2.2604,0.47459,-0.18412
1.9518,2.261,0.47789,-0.18451
1.9486,2.2616,0.48118,-0.1849
1.9453,2.2622,0.48448,-0.18527
1.9421,2.2628,0.48777,-0.18564
1.9388,2.2634,0.49107,-0.18599
1.9356,2.2639,0.49436,-0.18633
1.9323,2.2645,0.49766,-0.18666
1.9291,2.265,0.50096,-0.18698
1.9258,2.2656,0.50425,-0.18729
1.9226,2.2661,0.50755,-0.18759
1.9193,2.2666,0.51084,-0.18789
1.9161,2.2671,0.51414,-0.18817
1.9128,2.2676,0.51743,-0.18844
1.9095,2.2681,0.52073,-0.1887
1.9063,2.2686,0.52403,-0.18895
1.903,2.2691,0.52732,-0.18919
1.8998,2.2696,0.53062,-0.18942
1.8965,2.27,0.53391,-0.18964
1.8932,2.2705,0.53721,-0.18986
1.89,2.2709,0.54051,-0.19006
1.8867,2.2714,0.5438,-0.19026
1.8834,2.2718,0.5471,-0.19044
1.8802,2.2722,0.55039,-0.19062
1.8769,2.2727,0.55369,-0.19079
1.8736,2.2731,0.55698,-0.19095
1.8704,2.2735,0.56028,-0.1911
1.8671,2.2739,0.56358,-0.19124
1.8638,2.2743,0.56687,-0.19138
1.8605,2.2747,0.57017,-0.19151
1.8573,2.275,0.57346,-0.19162
1.854,2.2754,0.57676,-0.19173
1.8507,2.2758,0.58005,-0.19184
1.8474,2.2761,0.58335,-0.19193
1.8442,2.2765,0.58665,-0.19202
1.8409,2.2768,0.58994,-0.1921
1.8376,2.2772,0.59324,-0.19217
1.8343,2.2775,0.59653,-0.19223
1.8311,2.2778,0.59983,-0.19229
1.8278,2.2781,0.60312,-0.19234
1.8245,2.2785,0.60642,-0.19239
1.8212,2.2788,0.60972,-0.19242
1.8179,2.2791,0.61301,-0.19245
1.8146,2.2794,0.61631,-0.19247
1.8114,2.2796,0.6196,-0.19249
1.8081,2.2799,0.6229,-0.1925
1.8048,2.2802,0.6262,-0.1925
1.8015,2.2805,0.62949,-0.1925
1.7982,2.2807,0.63279,-0.19249
1.7949,2.281,0.63608,-0.19247
1.7917,2.2812,0.63938,-0.19245
1.7884,2.2815,0.64267,-0.19242
1.7851,2.2817,0.64597,-0.19238
1.7818,2.282,0.64927,-0.19234
1.7785,2.2822,0.65256,-0.19229
1.7752,2.2824,0.65586,-0.19223
1.7719,2.2826,0.65915,-0.19217
1.7686,2.2828,0.66245,-0.1921
1.7653,2.283,0.66574,-0.19202
1.7621,2.2832,0.66904,-0.19194
1.7588,2.2834,0.67234,-0.19185
1.7555,2.2836,0.67563,-0.19175
1.7522,2.2838,0.67893,-0.19164
1.7489,2.284,0.68222,-0.19153
1.7456,2.2842,0.68552,-0.19141
1.7423,2.2843,0.68881,-0.19129
1.739,2.2845,0.69211,-0.19115
1.7357,2.2846,0.69541,-0.19101
1.7324,2.2848,0.6987,-0.19086
1.7291,2.2849,0.702,-0.19071
1.7258,2.2851,0.70529,-0.19054
1.7226,2.2852,0.70859,-0.19037
1.7193,2.2853,0.71189,-0.19019
1.716,2.2855,0.71518,-0.19
1.7127,2.2856,0.71848,-0.18981
1.7094,2.2857,0.72177,-0.1896
1.7061,2.2858,0.72507,-0.18939
1.7028,2.2859,0.72836,-0.18917
1.6995,2.286,0.73166,-0.18894
1.6962,2.2861,0.73496,-0.1887
1.6929,2.2862,0.73825,-0.18845
