x,y,width
1.44387399,2.1,0.465
1.43969205,2.1,0.465
1.43551011,2.1,0.465
1.43132814,2.1,0.465
1.4271462,2.1,0.465
1.42296426,2.1,0.465
1.41878232,2.1,0.465
1.41460035,2.1,0.465
1.41041841,2.1,0.465
1.40623647,2.1,0.465
1.40205453,2.1,0.465
1.39787259,2.1,0.465
1.39369062,2.1,0.465
1.38950868,2.1,0.465
1.38532674,2.1,0.465
1.3811448,2.1,0.465
1.37696283,2.1,0.465
1.37278089,2.1,0.465
1.36859895,2.1,0.465
1.36441701,2.1,0.465
1.36023507,2.1,0.465
1.3560531,2.1,0.465
1.35187116,2.1,0.465
1.34768922,2.1,0.465
1.34350728,2.1,0.465
1.33932531,2.1,0.465
1.33514337,2.1,0.465
1.33096143,2.1,0.465
1.32677949,2.1,0.465
1.32259752,2.1,0.465
1.31841558,2.1,0.465
1.31423364,2.1,0.465
1.3100517,2.1,0.465
1.30586976,2.1,0.465
1.30168779,2.1,0.465
1.29750585,2.1,0.465
1.29332391,2.1,0.465
1.28914197,2.1,0.465
1.28496,2.1,0.465
1.28077806,2.1,0.465
1.27659612,2.1,0.465
1.27241418,2.1,0.465
1.26823224,2.1,0.465
1.26405027,2.1,0.465
1.25986833,2.1,0.465
1.25568639,2.1,0.465
1.25150445,2.1,0.465
1.24732248,2.1,0.465
1.24314054,2.1,0.465
1.2389586,2.1,0.465
1.23477666,2.1,0.465
1.23059472,2.1,0.465
1.22641275,2.1,0.465
1.22223081,2.1,0.465
1.21804887,2.1,0.465
1.21386693,2.1,0.465
1.20968496,2.1,0.465
1.20550302,2.1,0.465
1.20132108,2.1,0.465
1.19713914,2.1,0.465
1.1929572,2.1,0.465
1.18877523,2.1,0.465
1.18459329,2.1,0.465
1.18041135,2.1,0.465
1.17622941,2.1,0.465
1.17204744,2.1,0.465
1.1678655,2.1,0.465
1.16368356,2.1,0.465
1.15950162,2.1,0.465
1.15531968,2.1,0.465
1.15113771,2.1,0.465
1.14695577,2.1,0.465
1.14277383,2.1,0.465
1.13859189,2.1,0.465
1.13440992,2.1,0.465
1.13022798,2.1,0.465
1.12604604,2.1,0.465
1.1218641,2.1,0.465
1.11768216,2.1,0.465
1.11350019,2.1,0.465
1.10931825,2.1,0.465
1.10513631,2.1,0.465
1.10095437,2.1,0.465
1.0967724,2.1,0.465
1.09259046,2.1,0.465
1.08840852,2.1,0.465
1.08422658,2.1,0.465
1.08004464,2.1,0.465
1.07586267,2.1,0.465
1.07168073,2.1,0.465
1.06749879,2.1,0.465
1.06331685,2.1,0.465
1.05913488,2.1,0.465
1.05495294,2.1,0.465
1.050771,2.1,0.465
1.04658906,2.1,0.465
1.04240712,2.1,0.465
1.03822515,2.1,0.465
1.03404321,2.1,0.465
1.02986127,2.1,0.465
1.02567933,2.1,0.465
1.02149736,2.1,0.465
1.01731542,2.1,0.465
1.01313348,2.1,0.465
1.00895154,2.1,0.465
1.00476957,2.1,0.465
1.00058763,2.1,0.465
0.99640569,2.1,0.465
0.99222375,2.1,0.465
0.98804181,2.1,0.465
0.98385984,2.1,0.465
0.9796779,2.1,0.465
0.97549596,2.1,0.465
0.97131402,2.1,0.465
0.96713205,2.1,0.465
0.96295011,2.1,0.465
0.95876817,2.1,0.465
0.95458623,2.1,0.465
0.95040429,2.1,0.465
