x,y,dx,dy
60.9325506,24.9826009,-0.1678591,-4.4968682
61.2202207,24.9702035,-0.2196397,-4.4946366
61.5077289,24.9544937,-0.2713912,-4.4918089
61.7950372,24.9354736,-0.3231067,-4.4883852
62.0821073,24.9131457,-0.3747793,-4.4843662
62.3689012,24.8875131,-0.4264022,-4.4797524
62.6553809,24.858579,-0.4779686,-4.4745442
62.9415084,24.8263475,-0.5294715,-4.4687425
63.2272456,24.7908226,-0.5809042,-4.4623481
63.5125548,24.7520092,-0.6322599,-4.4553617
63.797398,24.7099124,-0.6835316,-4.4477842
64.0817374,24.6645377,-0.7347127,-4.4396168
64.3655354,24.6158912,-0.7857964,-4.4308604
64.6487544,24.5639794,-0.8367758,-4.4215163
64.9313566,24.5088091,-0.8876442,-4.4115856
65.2133047,24.4503876,-0.9383948,-4.4010698
65.4945612,24.3887227,-0.989021,-4.3899701
65.7750889,24.3238227,-1.039516,-4.3782881
66.0548505,24.2556959,-1.0898731,-4.3660253
66.3338089,24.1843517,-1.1400856,-4.3531833
66.611927,24.1097993,-1.1901469,-4.3397639
66.8891682,24.0320486,-1.2400503,-4.3257688
67.1654954,23.9511101,-1.2897892,-4.3111998
67.4408721,23.8669944,-1.339357,-4.296059
67.7152618,23.7797127,-1.3887471,-4.2803483
67.988628,23.6892765,-1.437953,-4.2640698
68.2609345,23.5956979,-1.4869682,-4.2472256
68.5321452,23.4989893,-1.5357861,-4.2298181
68.8022241,23.3991635,-1.5844003,-4.2118494
69.0711353,23.2962337,-1.6328044,-4.1933221
69.3388432,23.1902136,-1.6809918,-4.1742384
69.6053123,23.0811173,-1.7289562,-4.1546011
69.8705073,22.9689592,-1.7766913,-4.1344127
70.1343929,22.8537542,-1.8241907,-4.1136758
70.3969341,22.7355176,-1.8714481,-4.0923932
70.6580961,22.6142651,-1.9184573,-4.0705677
70.9178444,22.4900128,-1.965212,-4.0482023
71.1761443,22.3627771,-2.011706,-4.0252999
71.4329617,22.2325749,-2.0579331,-4.0018635
71.6882626,22.0994235,-2.1038873,-3.9778962
71.9420129,21.9633406,-2.1495623,-3.9534013
72.1941791,21.8243441,-2.1949522,-3.9283819
72.4447277,21.6824527,-2.240051,-3.9028415
72.6954714,21.5389501,-2.2148151,-3.9172176
72.9469306,21.3986786,-2.1695525,-3.9424665
73.1999886,21.2613126,-2.1240021,-3.9671924
73.4546119,21.1268702,-2.0781699,-3.991392
73.7107668,20.9953693,-2.032062,-4.0150622
73.9684192,20.8668274,-1.9856845,-4.0381997
74.2275349,20.7412614,-1.9390437,-4.0608016
74.4880797,20.6186881,-1.8921457,-4.0828648
74.7500189,20.4991237,-1.8449966,-4.1043864
75.0133177,20.382584,-1.7976028,-4.1253635
75.2779414,20.2690845,-1.7499706,-4.1457934
75.5438547,20.1586404,-1.7021062,-4.1656734
75.8110223,20.0512661,-1.654016,-4.1850007
76.0794089,19.9469761,-1.6057064,-4.2037729
76.3489789,19.845784,-1.5571838,-4.2219875
76.6196964,19.7477033,-1.5084546,-4.239642
76.8915256,19.6527471,-1.4595254,-4.2567342
77.1644304,19.560928,-1.4104025,-4.2732616
77.4383746,19.472258,-1.3610926,-4.2892222
77.7133219,19.386749,-1.3116021,-4.3046138
77.9892358,19.3044124,-1.2619376,-4.3194344
78.2660796,19.225259,-1.2121057,-4.333682
78.5438168,19.1492993,-1.162113,-4.3473548
78.8224104,19.0765434,-1.1119661,-4.3604508
79.1018234,19.0070011,-1.0616718,-4.3729684
79.3820188,18.9406814,-1.0112366,-4.384906
